,ANA,ARI,ATL,BAL,BOS,CHC,CHW,CIN,CLE,COL,DET,FLA,HOU,KCR,LAD,MIL,MIN,MON,NYM,NYY,OAK,PHI,PIT,SDP,SEA,SFG,STL,TBD,TEX,TOR
DET,0.05555555555555555,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.043209876543209874,0.0,0.11728395061728394,0.0,0.11728395061728394,0.018518518518518517,0.0,0.018518518518518517,0.0,0.11728395061728394,0.0,0.0,0.11728395061728394,0.0,0.018518518518518517,0.043209876543209874,0.05555555555555555,0.018518518518518517,0.0,0.0,0.05555555555555555,0.0,0.0,0.037037037037037035,0.05555555555555555,0.037037037037037035
FLA,0.0,0.043209876543209874,0.11728395061728394,0.0,0.0,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.0,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.0,0.11728395061728394,0.11728395061728394,0.0,0.0,0.11728395061728394,0.037037037037037035,0.037037037037037035,0.0,0.043209876543209874,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.0
HOU,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.0,0.0,0.11728395061728394,0.0,0.10493827160493827,0.0,0.037037037037037035,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.11728395061728394,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.037037037037037035,0.10493827160493827,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.1111111111111111,0.0,0.037037037037037035,0.0
KCR,0.043209876543209874,0.0,0.018518518518518517,0.05555555555555555,0.037037037037037035,0.0,0.11728395061728394,0.0,0.11728395061728394,0.0,0.11728395061728394,0.0,0.0,0.0,0.0,0.0,0.11728395061728394,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.05555555555555555,0.018518518518518517,0.0,0.018518518518518517,0.043209876543209874,0.0,0.018518518518518517,0.05555555555555555,0.05555555555555555,0.037037037037037035
LAD,0.037037037037037035,0.11728395061728394,0.043209876543209874,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.0,0.037037037037037035,0.0,0.11728395061728394,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.043209876543209874,0.037037037037037035,0.018518518518518517,0.0,0.037037037037037035,0.037037037037037035,0.11728395061728394,0.0,0.11728395061728394,0.037037037037037035,0.0,0.0,0.018518518518518517
MIL,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.0,0.0,0.10493827160493827,0.0,0.1111111111111111,0.0,0.037037037037037035,0.0,0.037037037037037035,0.11728395061728394,0.0,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.0,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.10493827160493827,0.0,0.0,0.0
MIN,0.05555555555555555,0.018518518518518517,0.0,0.05555555555555555,0.037037037037037035,0.0,0.11728395061728394,0.0,0.11728395061728394,0.0,0.11728395061728394,0.0,0.0,0.11728395061728394,0.0,0.037037037037037035,0.0,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.043209876543209874,0.018518518518518517,0.0,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.043209876543209874,0.037037037037037035
MON,0.0,0.037037037037037035,0.11728395061728394,0.0,0.0,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.0,0.037037037037037035,0.0,0.11728395061728394,0.037037037037037035,0.018518518518518517,0.043209876543209874,0.037037037037037035,0.018518518518518517,0.0,0.11728395061728394,0.0,0.0,0.11728395061728394,0.037037037037037035,0.043209876543209874,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.0,0.0,0.037037037037037035
NYM,0.0,0.043209876543209874,0.11728395061728394,0.0,0.0,0.037037037037037035,0.0,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.11728395061728394,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.11728395061728394,0.0,0.037037037037037035,0.0,0.11728395061728394,0.037037037037037035,0.043209876543209874,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0
NYY,0.05555555555555555,0.018518518518518517,0.0,0.11728395061728394,0.11728395061728394,0.0,0.043209876543209874,0.0,0.037037037037037035,0.018518518518518517,0.043209876543209874,0.0,0.0,0.037037037037037035,0.018518518518518517,0.0,0.037037037037037035,0.0,0.037037037037037035,0.0,0.05555555555555555,0.0,0.0,0.018518518518518517,0.05555555555555555,0.0,0.0,0.11728395061728394,0.05555555555555555,0.11728395061728394
OAK,0.11728395061728394,0.0,0.0,0.043209876543209874,0.05555555555555555,0.018518518518518517,0.05555555555555555,0.018518518518518517,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.043209876543209874,0.0,0.0,0.05555555555555555,0.0,0.0,0.018518518518518517,0.0,0.11728395061728394,0.037037037037037035,0.018518518518518517,0.05555555555555555,0.12345679012345678,0.05555555555555555
PHI,0.0,0.037037037037037035,0.11728395061728394,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.0,0.04938271604938271,0.018518518518518517,0.11728395061728394,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.11728395061728394,0.11728395061728394,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0
PIT,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.0,0.0,0.1111111111111111,0.0,0.11728395061728394,0.0,0.037037037037037035,0.0,0.037037037037037035,0.10493827160493827,0.0,0.037037037037037035,0.1111111111111111,0.0,0.037037037037037035,0.037037037037037035,0.0,0.018518518518518517,0.037037037037037035,0.0,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.10493827160493827,0.0,0.018518518518518517,0.0
SDP,0.0,0.11728395061728394,0.037037037037037035,0.0,0.018518518518518517,0.037037037037037035,0.0,0.037037037037037035,0.0,0.11728395061728394,0.0,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.11728395061728394,0.037037037037037035,0.0,0.043209876543209874,0.043209876543209874,0.018518518518518517,0.0,0.037037037037037035,0.037037037037037035,0.0,0.018518518518518517,0.11728395061728394,0.037037037037037035,0.018518518518518517,0.0,0.018518518518518517
SEA,0.12345679012345678,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.018518518518518517,0.043209876543209874,0.0,0.018518518518518517,0.05555555555555555,0.018518518518518517,0.0,0.05555555555555555,0.11728395061728394,0.0,0.018518518518518517,0.018518518518518517,0.0,0.0,0.018518518518518517,0.043209876543209874,0.11728395061728394,0.05555555555555555
SFG,0.0,0.11728395061728394,0.043209876543209874,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.0,0.037037037037037035,0.0,0.11728395061728394,0.0,0.043209876543209874,0.037037037037037035,0.0,0.11728395061728394,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.11728395061728394,0.0,0.0,0.037037037037037035,0.018518518518518517,0.0,0.018518518518518517
STL,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.11728395061728394,0.0,0.11728395061728394,0.0,0.037037037037037035,0.0,0.037037037037037035,0.1111111111111111,0.018518518518518517,0.037037037037037035,0.10493827160493827,0.0,0.037037037037037035,0.037037037037037035,0.0,0.018518518518518517,0.037037037037037035,0.10493827160493827,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.0,0.0,0.018518518518518517,0.0
TBD,0.043209876543209874,0.018518518518518517,0.0,0.11728395061728394,0.11728395061728394,0.0,0.037037037037037035,0.0,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.11728395061728394,0.05555555555555555,0.0,0.0,0.018518518518518517,0.043209876543209874,0.018518518518518517,0.0,0.0,0.05555555555555555,0.1111111111111111
TEX,0.11728395061728394,0.0,0.0,0.043209876543209874,0.05555555555555555,0.0,0.05555555555555555,0.018518518518518517,0.05555555555555555,0.0,0.05555555555555555,0.018518518518518517,0.037037037037037035,0.05555555555555555,0.0,0.0,0.043209876543209874,0.0,0.0,0.05555555555555555,0.12345679012345678,0.0,0.018518518518518517,0.0,0.11728395061728394,0.0,0.018518518518518517,0.05555555555555555,0.0,0.05555555555555555
TOR,0.05555555555555555,0.018518518518518517,0.0,0.11728395061728394,0.11728395061728394,0.0,0.043209876543209874,0.0,0.043209876543209874,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.018518518518518517,0.0,0.037037037037037035,0.037037037037037035,0.0,0.11728395061728394,0.05555555555555555,0.0,0.0,0.018518518518518517,0.05555555555555555,0.018518518518518517,0.0,0.1111111111111111,0.05555555555555555,0.0
